DFIRM_ID,Version_ID,FloodAreaID,StudyType,FloodZone,ZoneSubtype,SFHA_TF,SourceCitation,ZoneDescription,AdoptedDate,GlobalID,OBJECTID,Shape__Area,Shape__Length
47037C,1.1.1.0,47037C_1966,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,39d167f3-d6d7-44b1-a5da-aa6032aea77a,89,806.234741210938,315.144621008264
47037C,1.1.1.0,47037C_1967,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,269cbf6d-d88d-4561-85db-3db7e8cf1d99,90,122.940307617188,88.8914798428744
47037C,1.1.1.0,47037C_1968,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,e6346b42-ad94-4fb6-951f-f093a25f739d,91,2.05615234375,9.37825526736929
47037C,1.1.1.0,47037C_1969,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,97abd53e-d0e2-4cf9-8f2f-003249e48049,92,192.170288085938,119.328393360267
47037C,1.1.1.0,47037C_1970,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,ace022ea-95f0-4253-b58d-8bff5c73b00d,93,13.9481201171875,24.4496245240853
47037C,1.1.1.0,47037C_1976,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,93569ac4-260a-4f66-bc79-fae0fd01872f,94,21.9361572265625,29.3982479062691
47037C,1.1.1.0,47037C_1977,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,7eb87db9-076d-4330-b21b-0b2a434cd4d0,95,8.48291015625,18.7761775478966
47037C,1.1.1.0,47037C_1978,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,60a00f39-0ea9-4037-b1f6-fc0ea3eeda9f,96,14.7459716796875,23.7823459991733
47037C,1.1.1.0,47037C_1979,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,cefe0635-8609-4a61-9c6a-2c808645a384,97,32.240966796875,53.7529840365226
47037C,1.1.1.0,47037C_1980,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,9cec42e7-b063-4fd7-aaa8-ecb855fbecd0,98,41.990234375,46.8995498178932
47037C,1.1.1.0,47037C_1981,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,117cc00f-31c6-4864-afb1-0fc9db088dc6,99,374.019165039062,197.189608709034
47037C,1.1.1.0,47037C_1982,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,caae44a3-2c47-4da2-aaf1-c19a1031b327,100,466.236206054688,205.034960089138
47037C,1.1.1.0,47037C_1983,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,d7131c16-b720-4eb4-bcdd-616fe184fc59,101,1.4541015625,11.2529984530741
47037C,1.1.1.0,47037C_1990,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,0de0f2af-6d60-49cd-9d31-b0c850ce734d,102,239.826416015625,140.530467277536
47037C,1.1.1.0,47037C_1991,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,b6fa2047-e5e7-4447-bba3-1264ad230975,103,9.7994384765625,20.8824984875612
47037C,1.1.1.0,47037C_2002,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,9a1d0b08-68db-47b5-aa60-b69727239995,104,26.826171875,27.101722734866
47037C,1.1.1.0,47037C_2006,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,c6b7c036-c720-4860-94bd-7874a2adde05,105,84.839111328125,49.1352139065973
47037C,1.1.1.0,47037C_2008,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,3bf6f279-236f-4dd8-9d28-5ac272351f37,106,26.1712646484375,21.8217719978912
